date,time,time_begin,time_end,Food_Item,Amount_Consumed,Units,Food_Item_Description,calorie,total_carb,dietary_fiber,sugar,protein,total_fat
2020-03-15,20:50:00,2020-03-15 20:50:00,21:05:00,(Jolly Time) Select Yellow Pop Corn - Air Popped,0.25,cup,(Jolly Time) Yellow Popcorn,200.0,48.0,12.0,0.0,8.0,2.0
2020-03-15,20:50:00,2020-03-15 20:50:00,21:05:00,Virgil's Zero Sugar Black Cherry Soda,12.0,ounce,(Virgil's) Zero Black Cherry Cream Soda,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-16,09:45:00,2020-03-16 09:45:00,09:50:00,Std bfast,,,,280.0,56.5,1.0,24.0,8.0,2.5
2020-03-16,13:00:00,2020-03-16 13:00:00,13:15:00,(Firebirds Wood Fired Grill) Steak Sandwich with lettuce and onion,0.5,,(Firebirds Wood Fired Grill) Steak Sandwich,315.0,26.5,1.5,4.5,20.5,14.0
2020-03-16,13:00:00,2020-03-16 13:00:00,13:15:00,(Firebirds Wood Fired Grill) Seasoned Steak Fries,0.75,,(Firebirds Wood Fired Grill) Seasoned Steak Fries,457.5,59.3,7.5,0.8,6.8,21.0
2020-03-16,13:00:00,2020-03-16 13:00:00,13:15:00,(Alex's) Lemonade,8.0,ounce,Lemonade,99.0,26.0,0.0,25.0,0.2,0.1
2020-03-16,18:10:00,2020-03-16 18:10:00,18:25:00,Butter Lettuce,85.0,gram,Butter Lettuce,11.0,1.9,0.9,0.8,1.1,0.2
2020-03-16,18:10:00,2020-03-16 18:10:00,18:25:00,Red Onion,17.0,gram,Red Onion,7.5,1.7,0.2,0.8,0.2,0.0
2020-03-16,18:10:00,2020-03-16 18:10:00,18:25:00,(Toast) Red Wine Vinegrette,1.0,teaspoon,Red Wine Vinaigrette,12.0,0.6,0.0,0.5,0.0,1.0
2020-03-16,18:10:00,2020-03-16 18:10:00,18:25:00,Tilapia,50.0,gram,Tilapia,63.8,0.0,0.0,0.0,12.9,1.3
2020-03-16,18:10:00,2020-03-16 18:10:00,18:25:00,(Harris Teeter) Charleston Crabcake,29.0,gram,Crabcake,50.2,2.1,0.2,0.4,3.2,3.2
2020-03-16,18:10:00,2020-03-16 18:10:00,18:25:00,Lemon Juice,1.0,teaspoon,Lemon Juice,0.8,0.3,0.0,0.1,0.0,0.0
2020-03-16,18:40:00,2020-03-16 18:40:00,18:45:00,Pecans,30.0,gram,Pecans,207.0,4.2,2.9,1.2,2.8,22.0
2020-03-16,21:00:00,2020-03-16 21:00:00,21:10:00,(Jolly Time) Select Yellow Pop Corn - Air Popped,0.25,cup,(Jolly Time) Yellow Popcorn,200.0,48.0,12.0,0.0,8.0,2.0
2020-03-16,22:30:00,2020-03-16 22:30:00,22:40:00,(Peppridge Farm) Whole Wheat Hamburger Bun,1.0,,(Peppridge Farm) Whole Wheat Hamburger Bun,130.0,22.0,3.0,3.0,7.0,1.5
2020-03-16,22:30:00,2020-03-16 22:30:00,22:40:00,Smart Balance,7.0,gram,Smart Balance,41.0,0.0,0.0,0.0,0.0,4.5
2020-03-16,22:30:00,2020-03-16 22:30:00,22:40:00,Navel Orange,212.0,gram,Navel Orange,104.0,27.0,4.7,18.0,1.9,0.3
2020-03-17,12:10:00,2020-03-17 12:10:00,12:20:00,(Quaker) Old Fashioned Oats,1.0,,(Quaker) Old Fashioned Oats,150.0,27.0,4.0,1.0,5.0,3.0
2020-03-17,12:10:00,2020-03-17 12:10:00,12:20:00,(Red Delicious) Apple with Skin,115.0,gram,Red Delicious Apple,68.0,16.0,2.6,12.0,0.3,0.2
2020-03-17,12:10:00,2020-03-17 12:10:00,12:20:00,Ground Flaxseeds,1.0,tablespoon,Flaxseed,55.0,3.0,2.8,0.2,1.9,4.3
2020-03-17,12:10:00,2020-03-17 12:10:00,12:20:00,(Now) Whole Psyllium Husks,2.0,tablespoon,(Now) Whole Psyllium Husks,35.0,8.0,7.0,0.0,0.0,0.0
2020-03-17,12:10:00,2020-03-17 12:10:00,12:20:00,Cinnamon,2.0,teaspoon,Cinnamon,13.0,4.2,2.8,0.1,0.2,0.1
2020-03-17,12:10:00,2020-03-17 12:10:00,12:20:00,(Harris Teeter) Fat Free Organic Milk,1.0,cup,(Harris Teeter) Fat Free Organic Milk,80.0,13.0,0.0,12.0,8.0,0.0
2020-03-17,16:15:00,2020-03-17 16:15:00,16:30:00,Chicken breaded with (Progesso) Italian Bread Crumbs,143.0,gram,Baked Breaded Chicken Tender,323.0,24.0,1.4,1.5,35.0,8.6
2020-03-17,16:15:00,2020-03-17 16:15:00,16:30:00,Potato,100.0,gram,Potato,93.0,21.0,2.2,1.2,2.5,0.1
2020-03-17,16:15:00,2020-03-17 16:15:00,16:30:00,Extra Virgin Olive Oil,1.0,tablespoon,Extra Virgin Olive Oil,119.0,0.0,0.0,0.0,0.0,14.0
2020-03-17,16:15:00,2020-03-17 16:15:00,16:30:00,(Crosse and Blackwell) Old Fashioned English Fish and Chip  Vinegar,1.0,tablespoon,(Crosse and Blackwell) Old Fashioned English Fish and Chip  Vinegar,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-17,20:25:00,2020-03-17 20:25:00,20:35:00,"Homemade soup with Hot Italian sausage, kale, cannolli beans, onion, garlic, (Kirkland) organic chicken stock, white wine",3.0,cup,,600.0,48.0,4.5,8.3,22.5,36.0
2020-03-17,21:30:00,2020-03-17 21:30:00,21:35:00,"Homemade soup with Hot Italian sausage, kale, cannolli beans, onion, garlic, (Kirkland) organic chicken stock, white wine",1.0,cup,,200.0,16.0,1.5,2.8,7.5,12.0
2020-03-18,10:40:00,2020-03-18 10:40:00,10:45:00,Std Bfast,,,,280.0,56.5,1.0,24.0,8.0,2.5
2020-03-18,13:40:00,2020-03-18 13:40:00,13:55:00,"Homemade soup with Hot Italian sausage, kale, cannolli beans, onion, garlic, (Kirkland) organic chicken stock, white wine",1.0,cup,,200.0,16.0,1.5,2.8,7.5,12.0
2020-03-18,18:35:00,2020-03-18 18:35:00,18:45:00,Chicken breaded with (Progesso) Italian Bread Crumbs,122.0,gram,Baked Breaded Chicken Tender,275.6,20.5,1.2,1.3,29.9,7.3
2020-03-18,18:35:00,2020-03-18 18:35:00,18:45:00,Potato,54.0,gram,Potato,50.2,11.3,1.2,0.6,1.4,0.1
2020-03-18,18:35:00,2020-03-18 18:35:00,18:45:00,Extra Virgin Olive Oil,1.0,tablespoon,Extra Virgin Olive Oil,119.0,0.0,0.0,0.0,0.0,14.0
2020-03-18,18:35:00,2020-03-18 18:35:00,18:45:00,(Crosse and Blackwell) Old Fashioned English Fish and Chip  Vinegar,1.0,tablespoon,(Crosse and Blackwell) Old Fashioned English Fish and Chip  Vinegar,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-18,21:20:00,2020-03-18 21:20:00,21:35:00,(Jolly Time) Select Yellow Pop Corn - Air Popped,0.25,cup,(Jolly Time) Yellow Popcorn,200.0,48.0,12.0,0.0,8.0,2.0
2020-03-18,21:20:00,2020-03-18 21:20:00,21:35:00,Virgil's Zero Sugar Black Cherry Soda,12.0,ounce,(Virgil's) Zero Black Cherry Cream Soda,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-19,10:30:00,2020-03-19 10:30:00,10:37:00,Std Bfast,,,,280.0,56.5,1.0,24.0,8.0,2.5
2020-03-19,13:45:00,2020-03-19 13:45:00,13:55:00,(Quaker) Old Fashioned Oats,1.0,,(Quaker) Old Fashioned Oats,150.0,27.0,4.0,1.0,5.0,3.0
2020-03-19,13:45:00,2020-03-19 13:45:00,13:55:00,(Red Delicious) Apple with Skin,101.0,gram,Red Delicious Apple,60.0,14.0,2.3,11.0,0.3,0.2
2020-03-19,13:45:00,2020-03-19 13:45:00,13:55:00,Ground Flaxseeds,1.0,tablespoon,Flaxseed,55.0,3.0,2.8,0.2,1.9,4.3
2020-03-19,13:45:00,2020-03-19 13:45:00,13:55:00,(Now) Whole Psyllium Husks,2.0,tablespoon,(Now) Whole Psyllium Husks,35.0,8.0,7.0,0.0,0.0,0.0
2020-03-19,13:45:00,2020-03-19 13:45:00,13:55:00,Cinnamon,2.0,teaspoon,Cinnamon,13.0,4.2,2.8,0.1,0.2,0.1
2020-03-19,13:45:00,2020-03-19 13:45:00,13:55:00,(Harris Teeter) Fat Free Organic Milk,1.0,cup,(Harris Teeter) Fat Free Organic Milk,80.0,13.0,0.0,12.0,8.0,0.0
2020-03-19,19:05:00,2020-03-19 19:05:00,19:20:00,Butter Lettuce,171.0,gram,Butter Lettuce,22.1,3.8,1.9,1.6,2.2,0.4
2020-03-19,19:05:00,2020-03-19 19:05:00,19:20:00,Chickpeas,90.0,gram,Chickpeas,147.0,24.1,6.8,4.3,8.0,2.3
2020-03-19,19:05:00,2020-03-19 19:05:00,19:20:00,Red Onion,34.0,gram,Red Onion,15.0,3.4,0.5,1.6,0.5,0.1
2020-03-19,19:05:00,2020-03-19 19:05:00,19:20:00,Chicken,48.0,gram,Chicken,105.8,0.0,0.0,0.0,11.4,6.3
2020-03-19,19:05:00,2020-03-19 19:05:00,19:20:00,(Toast) Red Wine Vinegrette,1.0,tablespoon,Red Wine Vinaigrette,35.0,1.8,0.0,1.6,0.1,3.1
2020-03-20,10:00:00,2020-03-20 10:00:00,10:15:00,(Quaker) Old Fashioned Oats,1.0,,(Quaker) Old Fashioned Oats,150.0,27.0,4.0,1.0,5.0,3.0
2020-03-20,10:00:00,2020-03-20 10:00:00,10:15:00,(Red Delicious) Apple with Skin,117.0,gram,Red Delicious Apple,69.0,16.0,2.7,12.0,0.3,0.2
2020-03-20,10:00:00,2020-03-20 10:00:00,10:15:00,Ground Flaxseeds,1.0,tablespoon,Flaxseed,55.0,3.0,2.8,0.2,1.9,4.3
2020-03-20,10:00:00,2020-03-20 10:00:00,10:15:00,(Now) Whole Psyllium Husks,2.0,tablespoon,(Now) Whole Psyllium Husks,35.0,8.0,7.0,0.0,0.0,0.0
2020-03-20,10:00:00,2020-03-20 10:00:00,10:15:00,Cinnamon,2.0,teaspoon,Cinnamon,13.0,4.2,2.8,0.1,0.2,0.1
2020-03-20,10:00:00,2020-03-20 10:00:00,10:15:00,(Harris Teeter) Fat Free Organic Milk,1.0,cup,(Harris Teeter) Fat Free Organic Milk,80.0,13.0,0.0,12.0,8.0,0.0
2020-03-20,16:10:00,2020-03-20 16:10:00,16:25:00,"Homemade Beef and Barley Soup with onion, celery, kale, (Simple Truth) fat free organic beef stock, and (Pacific) low sodium organic vegetable broth",3.0,cup,,324.0,49.5,5.6,7.6,18.0,6.0
2020-03-20,19:05:00,2020-03-20 19:05:00,19:35:00,Butter Lettuce,93.0,gram,Butter Lettuce,12.0,2.1,1.0,0.9,1.2,0.2
2020-03-20,19:05:00,2020-03-20 19:05:00,19:35:00,Chickpeas,53.0,gram,Chickpeas,86.6,14.2,4.0,2.5,4.7,1.3
2020-03-20,19:05:00,2020-03-20 19:05:00,19:35:00,Red Onion,12.0,gram,Red Onion,5.3,1.2,0.2,0.6,0.2,0.0
2020-03-20,19:05:00,2020-03-20 19:05:00,19:35:00,Chicken breaded with (Progesso) Italian Bread Crumbs,105.0,gram,Baked Breaded Chicken Tender,237.2,17.6,1.0,1.1,25.7,6.3
2020-03-20,19:05:00,2020-03-20 19:05:00,19:35:00,(Toast) Red Wine Vinegrette,2.0,teaspoon,Red Wine Vinaigrette,24.0,1.2,0.0,1.1,0.0,2.0
2020-03-20,19:05:00,2020-03-20 19:05:00,19:35:00,Potato,42.0,gram,Potato,39.1,8.8,0.9,0.5,1.1,0.1
2020-03-20,19:05:00,2020-03-20 19:05:00,19:35:00,Extra Virgin Olive Oil,0.5,tablespoon,Extra Virgin Olive Oil,59.5,0.0,0.0,0.0,0.0,7.0
2020-03-20,19:05:00,2020-03-20 19:05:00,19:35:00,(Crosse and Blackwell) Old Fashioned English Fish and Chip  Vinegar,1.0,tablespoon,(Crosse and Blackwell) Old Fashioned English Fish and Chip  Vinegar,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-21,06:00:00,2020-03-21 06:00:00,06:05:00,Std Bfast,,,,280.0,56.5,1.0,24.0,8.0,2.5
2020-03-21,11:30:00,2020-03-21 11:30:00,11:35:00,(Peppridge Farm) Whole Wheat Hamburger Bun,1.0,,(Peppridge Farm) Whole Wheat Hamburger Bun,130.0,22.0,3.0,3.0,7.0,1.5
2020-03-21,11:30:00,2020-03-21 11:30:00,11:35:00,(Jif) Extra Crunchy Peanut Butter,2.0,tablespoon,(Jif) Extra Crunchy Peanut Butter,190.0,8.0,2.0,3.0,7.0,16.0
2020-03-21,13:20:00,2020-03-21 13:20:00,13:40:00,(NOSH) Owen's Crunchy Chicken Sandwich without dijonnaise,1.0,,Chicken Sandwich,468.0,39.0,2.6,6.8,30.0,21.0
2020-03-21,13:20:00,2020-03-21 13:20:00,13:40:00,(NOSH) Veggie Slaw Side Order,1.0,,,174.0,14.0,2.1,10.0,1.0,13.0
2020-03-21,16:00:00,2020-03-21 16:00:00,16:05:00,Hershey's Milk Chocolate Bar,43.0,gram,Hershey's Milk Chocolate Bar,220.0,26.0,1.0,24.0,3.0,13.0
2020-03-21,19:15:00,2020-03-21 19:15:00,19:30:00,Salad - Spring Mix,60.0,gram,Spring Mix,17.0,3.1,1.2,0.5,1.3,0.3
2020-03-21,19:15:00,2020-03-21 19:15:00,19:30:00,Chickpeas,78.0,gram,Chickpeas,127.4,20.9,5.9,3.7,6.9,2.0
2020-03-21,19:15:00,2020-03-21 19:15:00,19:30:00,Red Onion,18.0,gram,Red Onion,7.9,1.8,0.3,0.8,0.3,0.0
2020-03-21,19:15:00,2020-03-21 19:15:00,19:30:00,(Toast) Red Wine Vinegrette,1.0,teaspoon,Red Wine Vinaigrette,12.0,0.6,0.0,0.5,0.0,1.0
2020-03-21,19:15:00,2020-03-21 19:15:00,19:30:00,"Homemade Chicken Noodle Soup with chicken, onion, celery, (Kirkland) organic chicken stock, and (Amish Kitchens) wide egg noodles",2.0,cup,Homemade Chicken Noodle Soup ,124.0,15.0,1.0,1.3,6.3,4.7
2020-03-21,20:55:00,2020-03-21 20:55:00,21:05:00,(Jolly Time) Select Yellow Pop Corn - Air Popped,0.25,cup,(Jolly Time) Yellow Popcorn,200.0,48.0,12.0,0.0,8.0,2.0
2020-03-21,20:55:00,2020-03-21 20:55:00,21:05:00,Virgil's Zero Sugar Black Cherry Soda,12.0,ounce,(Virgil's) Zero Black Cherry Cream Soda,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-22,08:30:00,2020-03-22 08:30:00,,Boost,,,,654.0,82.0,5.6,40.0,26.0,26.0
